timestep_superordinate_dispatch,region,technology,carrier,variable,value
2050,DE,gasStorage,none,costOprStSize,1127.3358429148846
2050,AT,gasStorage,none,costOprStSize,56.024212180922895
2050,BE,gasStorage,none,costOprStSize,44.75896380695027
2050,BG,gasStorage,none,costOprStSize,87.963523769422
2050,CZ,gasStorage,none,costOprStSize,158.0567710141245
2050,DK,gasStorage,none,costOprStSize,51.45045584705667
2050,ES,gasStorage,none,costOprStSize,229.2479090485473
2050,FR,gasStorage,none,costOprStSize,682.2886589718457
2050,GR,gasStorage,none,costOprStSize,19.19633613857891
2050,HR,gasStorage,none,costOprStSize,31.898088370617806
2050,HU,gasStorage,none,costOprStSize,216.23750459654198
2050,IT,gasStorage,none,costOprStSize,992.2802954346312
2050,LV,gasStorage,none,costOprStSize,44.460775036557834
2050,NL,gasStorage,none,costOprStSize,650.3229425466313
2050,PL,gasStorage,none,costOprStSize,330.77020029131796
2050,PT,gasStorage,none,costOprStSize,17.751824697562764
2050,RO,gasStorage,none,costOprStSize,148.75560913184165
2050,SE,gasStorage,none,costOprStSize,0.48233147613618665
2050,SK,gasStorage,none,costOprStSize,102.49892721344422
2050,TR,gasStorage,none,costOprStSize,459.3227119450619
2050,UK,gasStorage,none,costOprStSize,300.2246319524361
2050,AT,caes,none,costExpStSize,1.7771482359328478e-5
2050,AT,battery < grid,none,costExpStSize,103.16592003610086
2050,BE,caes,none,costExpStSize,1.2650630056297085e-5
2050,BE,battery < grid,none,costExpStSize,681.0490360398836
2050,BG,caes,none,costExpStSize,1.285652466724427e-5
2050,BG,battery < grid,none,costExpStSize,487.37142109484955
2050,CH,caes,none,costExpStSize,1.469201682971485e-5
2050,CH,battery < grid,none,costExpStSize,291.3429181641773
2050,CZ,caes,none,costExpStSize,1.256906892125091e-5
2050,CZ,battery < grid,none,costExpStSize,589.6647342490288
2050,DE,caes,none,costExpStSize,9.034991084523832e-6
2050,DE,battery < grid,none,costExpStSize,1880.0340257285302
2050,DK,caes,none,costExpStSize,1.7558581008184205e-5
2050,DK,battery < grid,none,costExpStSize,39.94783992081454
2050,EE,caes,none,costExpStSize,1.8078983303161665e-5
2050,EE,battery < grid,none,costExpStSize,31.47741811844985
2050,ES,caes,none,costExpStSize,1.9315524270912986e-5
2050,ES,battery < grid,none,costExpStSize,3247.547621374624
2050,FI,caes,none,costExpStSize,1.8956151683110458e-5
2050,FI,battery < grid,none,costExpStSize,190.44505081620076
2050,FR,caes,none,costExpStSize,1.8531308271547547e-5
2050,FR,battery < grid,none,costExpStSize,2932.2824563922345
2050,GR,caes,none,costExpStSize,1.980297080300313e-5
2050,GR,battery < grid,none,costExpStSize,592.7780703723857
2050,HR,caes,none,costExpStSize,1.2987682222061935e-5
2050,HR,battery < grid,none,costExpStSize,259.17075936857987
2050,HU,caes,none,costExpStSize,1.3541041607378409e-5
2050,HU,battery < grid,none,costExpStSize,195.80425561779697
2050,IE,caes,none,costExpStSize,1.9583573788010844e-5
2050,IE,battery < grid,none,costExpStSize,177.12825523969354
2050,IT,caes,none,costExpStSize,1.2483222929894453e-5
2050,IT,battery < grid,none,costExpStSize,2099.5393130351526
2050,LT,caes,none,costExpStSize,1.718388220555319e-5
2050,LT,battery < grid,none,costExpStSize,83.47353566625665
2050,LU,caes,none,costExpStSize,1.225562004355732e-5
2050,LU,battery < grid,none,costExpStSize,0.7475910881611046
2050,LV,caes,none,costExpStSize,1.427028962255907e-5
2050,LV,battery < grid,none,costExpStSize,39.87815782921829
2050,NL,caes,none,costExpStSize,1.6371739308546467e-5
2050,NL,battery < grid,none,costExpStSize,814.3527284186525
2050,NO,caes,none,costExpStSize,9.820050134966307e-6
2050,NO,battery < grid,none,costExpStSize,0.00020457914430933174
2050,NONEU_Balkan,caes,none,costExpStSize,1.8937730996999726e-5
2050,NONEU_Balkan,battery < grid,none,costExpStSize,745.8635741756055
2050,PL,caes,none,costExpStSize,1.7744286880327933e-5
2050,PL,battery < grid,none,costExpStSize,1553.1417771996148
2050,PT,caes,none,costExpStSize,1.93405596710326e-5
2050,PT,battery < grid,none,costExpStSize,227.2425802414046
2050,RO,caes,none,costExpStSize,1.432643002473685e-5
2050,RO,battery < grid,none,costExpStSize,772.6921657131843
2050,SE,caes,none,costExpStSize,1.7882937590928354e-5
2050,SE,battery < grid,none,costExpStSize,299.55262504289493
2050,SI,caes,none,costExpStSize,1.237592608208768e-5
2050,SI,battery < grid,none,costExpStSize,59.07352111285137
2050,SK,caes,none,costExpStSize,1.165202708618142e-5
2050,SK,battery < grid,none,costExpStSize,378.8390356691131
2050,TR,caes,none,costExpStSize,1.9942278239799378e-5
2050,TR,battery < grid,none,costExpStSize,3385.5395516972435
2050,UK,caes,none,costExpStSize,1.849944212082322e-5
2050,UK,battery < grid,none,costExpStSize,1673.3314196261613
2050,AT,none,biomass,costTrdBuy,0.0
2050,BE,none,biomass,costTrdBuy,0.0
2050,BG,none,biomass,costTrdBuy,0.0
2050,CH,none,biomass,costTrdBuy,0.0
2050,CZ,none,biomass,costTrdBuy,0.0
2050,DE,none,biomass,costTrdBuy,0.0
2050,DK,none,biomass,costTrdBuy,0.0
2050,EE,none,biomass,costTrdBuy,0.0
2050,ES,none,biomass,costTrdBuy,0.0
2050,FI,none,biomass,costTrdBuy,0.0
2050,FR,none,biomass,costTrdBuy,0.0
2050,GR,none,biomass,costTrdBuy,0.0
2050,HR,none,biomass,costTrdBuy,0.0
2050,HU,none,biomass,costTrdBuy,0.0
2050,IE,none,biomass,costTrdBuy,0.0
2050,IT,none,biomass,costTrdBuy,0.0
2050,LT,none,biomass,costTrdBuy,0.0
2050,LU,none,biomass,costTrdBuy,0.0
2050,LV,none,biomass,costTrdBuy,0.0
2050,NL,none,biomass,costTrdBuy,0.0
2050,NO,none,biomass,costTrdBuy,0.0
2050,NONEU_Balkan,none,biomass,costTrdBuy,0.0
2050,PL,none,biomass,costTrdBuy,0.0
2050,PT,none,biomass,costTrdBuy,0.0
2050,RO,none,biomass,costTrdBuy,0.0
2050,SE,none,biomass,costTrdBuy,0.0
2050,SI,none,biomass,costTrdBuy,0.0
2050,SK,none,biomass,costTrdBuy,0.0
2050,TR,none,biomass,costTrdBuy,0.0
2050,UK,none,biomass,costTrdBuy,0.0
2050,AT,pumpedHydro,none,costOprStIn,1.5822800000000001
2050,AT,gasStorage,none,costOprStIn,13.824903108256018
2050,AT,caes,none,costOprStIn,0.00020505096372802162
2050,AT,battery < grid,none,costOprStIn,5.183831232912833
2050,BE,pumpedHydro,none,costOprStIn,0.322
2050,BE,gasStorage,none,costOprStIn,17.952228917402135
2050,BE,caes,none,costOprStIn,0.00014596852110699727
2050,BE,battery < grid,none,costOprStIn,34.2210217888069
2050,BG,pumpedHydro,none,costOprStIn,0.26124
2050,BG,gasStorage,none,costOprStIn,25.993742872034918
2050,BG,caes,none,costOprStIn,0.00014834349107817926
2050,BG,battery < grid,none,costOprStIn,24.48920305738665
2050,CH,pumpedHydro,none,costOprStIn,1.1494000000000002
2050,CH,caes,none,costOprStIn,0.0001695209711789481
2050,CH,battery < grid,none,costOprStIn,14.639257785072799
2050,CZ,pumpedHydro,none,costOprStIn,0.28
2050,CZ,gasStorage,none,costOprStIn,74.00656480655859
2050,CZ,caes,none,costOprStIn,0.00014502691832210914
2050,CZ,battery < grid,none,costOprStIn,29.629187693877384
2050,DE,pumpedHydro,none,costOprStIn,2.37496
2050,DE,gasStorage,none,costOprStIn,411.5525882201095
2050,DE,caes,none,costOprStIn,0.000104540035746175
2050,DE,battery < grid,none,costOprStIn,94.46703790346452
2050,ES,pumpedHydro,none,costOprStIn,2.3184
2050,ES,gasStorage,none,costOprStIn,52.33465078857695
2050,ES,caes,none,costOprStIn,0.00022286608817646957
2050,ES,battery < grid,none,costOprStIn,163.18119766277962
2050,FR,pumpedHydro,none,costOprStIn,1.54
2050,FR,gasStorage,none,costOprStIn,187.12279119249072
2050,FR,caes,none,costOprStIn,0.0002138163655297523
2050,FR,battery < grid,none,costOprStIn,147.33990651335617
2050,GR,pumpedHydro,none,costOprStIn,0.36092
2050,GR,gasStorage,none,costOprStIn,11.426389146028374
2050,GR,caes,none,costOprStIn,0.00022848944457714364
2050,GR,battery < grid,none,costOprStIn,29.78562512384092
2050,HR,pumpedHydro,none,costOprStIn,0.084
2050,HR,gasStorage,none,costOprStIn,10.541190259782617
2050,HR,caes,none,costOprStIn,0.00014985660078913887
2050,HR,battery < grid,none,costOprStIn,13.022686957865284
2050,IE,pumpedHydro,none,costOprStIn,0.12376000000000001
2050,IE,caes,none,costOprStIn,0.00022595749094329333
2050,IE,battery < grid,none,costOprStIn,8.900255185791522
2050,IT,pumpedHydro,none,costOprStIn,1.6049031516
2050,IT,gasStorage,none,costOprStIn,271.59268229841075
2050,IT,caes,none,costOprStIn,0.0001440372483407736
2050,IT,battery < grid,none,costOprStIn,105.49663308350321
2050,LT,pumpedHydro,none,costOprStIn,0.266
2050,LT,caes,none,costOprStIn,0.00019827138599585374
2050,LT,battery < grid,none,costOprStIn,4.194338076628752
2050,LU,pumpedHydro,none,costOprStIn,0.28728000000000004
2050,LU,caes,none,costOprStIn,0.0001414105431896577
2050,LU,battery < grid,none,costOprStIn,0.037564713605603955
2050,NO,pumpedHydro,none,costOprStIn,0.31211824000000005
2050,NO,caes,none,costOprStIn,0.0001133118743627724
2050,NO,battery < grid,none,costOprStIn,4.448712652365316e-5
2050,PL,pumpedHydro,none,costOprStIn,0.41663999999999995
2050,PL,gasStorage,none,costOprStIn,117.54112548678677
2050,PL,caes,none,costOprStIn,0.0002047369354466268
2050,PL,battery < grid,none,costOprStIn,78.04151470947815
2050,PT,pumpedHydro,none,costOprStIn,1.1535720000000003
2050,PT,gasStorage,none,costOprStIn,6.679724863597242
2050,PT,caes,none,costOprStIn,0.00022315465206077821
2050,PT,battery < grid,none,costOprStIn,11.41837524337467
2050,SI,pumpedHydro,none,costOprStIn,0.17276000000000002
2050,SI,caes,none,costOprStIn,0.00014279793562959895
2050,SI,battery < grid,none,costOprStIn,2.9682980770441296
2050,SK,pumpedHydro,none,costOprStIn,0.4160800000000001
2050,SK,gasStorage,none,costOprStIn,35.07731878889421
2050,SK,caes,none,costOprStIn,0.00013444554129152247
2050,SK,battery < grid,none,costOprStIn,19.035720301233944
2050,DK,gasStorage,none,costOprStIn,17.34016118523891
2050,DK,caes,none,costOprStIn,0.00020259684038824335
2050,DK,battery < grid,none,costOprStIn,2.007279893251458
2050,HU,gasStorage,none,costOprStIn,66.45294265878469
2050,HU,caes,none,costOprStIn,0.00015624120090466242
2050,HU,battery < grid,none,costOprStIn,9.838677420046615
2050,LV,gasStorage,none,costOprStIn,18.091208186303305
2050,LV,caes,none,costOprStIn,0.000164656086141022
2050,LV,battery < grid,none,costOprStIn,2.0037785386855576
2050,NL,gasStorage,none,costOprStIn,269.9526182589344
2050,NL,caes,none,costOprStIn,0.00018890385262086882
2050,NL,battery < grid,none,costOprStIn,40.91920103503872
2050,RO,gasStorage,none,costOprStIn,50.6219952569467
2050,RO,caes,none,costOprStIn,0.00016530283066288354
2050,RO,battery < grid,none,costOprStIn,38.825861279107
2050,SE,gasStorage,none,costOprStIn,0.8950481479159978
2050,SE,caes,none,costOprStIn,0.00020633672314325136
2050,SE,battery < grid,none,costOprStIn,15.05177515250981
2050,TR,gasStorage,none,costOprStIn,141.71624984065215
2050,TR,caes,none,costOprStIn,0.00023009577109516985
2050,TR,battery < grid,none,costOprStIn,170.11494918710483
2050,UK,gasStorage,none,costOprStIn,94.5780615643136
2050,UK,caes,none,costOprStIn,0.00021344865311609732
2050,UK,battery < grid,none,costOprStIn,84.08074556214149
2050,EE,caes,none,costOprStIn,0.00020859984805056362
2050,EE,battery < grid,none,costOprStIn,1.5816622154031321
2050,FI,caes,none,costOprStIn,0.00021871832670751094
2050,FI,battery < grid,none,costOprStIn,9.56939105385783
2050,NONEU_Balkan,caes,none,costOprStIn,0.00021850602577906702
2050,NONEU_Balkan,battery < grid,none,costOprStIn,37.47779130267319
2050,AT,none,electricity < electricity_central,costLss,0.0001302508872332281
2050,AT,none,gas < hydrogen,costLss,5.6234277760776934e-6
2050,AT,none,gas < synthGas,costLss,6.4520482439107485e-6
2050,AT,none,mobility,costLss,5.090038325302689e-6
2050,AT,none,heatIndustry,costLss,3.0114328786050614e-5
2050,AT,none,heatResidental,costLss,2.980408879248316e-5
2050,BE,none,electricity < electricity_central,costLss,0.00013267505677567808
2050,BE,none,gas < hydrogen,costLss,5.665455590616905e-6
2050,BE,none,gas < synthGas,costLss,6.223039895504724e-6
2050,BE,none,mobility,costLss,5.097357810159533e-6
2050,BE,none,heatIndustry,costLss,3.0175421749086834e-5
2050,BE,none,heatResidental,costLss,2.985484621370678e-5
2050,BG,none,electricity < electricity_central,costLss,0.0001303530420265069
2050,BG,none,gas < hydrogen,costLss,5.6579682386828314e-6
2050,BG,none,gas < synthGas,costLss,6.4165003631161e-6
2050,BG,none,mobility,costLss,5.085908526222203e-6
2050,BG,none,heatIndustry,costLss,3.005043157149628e-5
2050,BG,none,heatResidental,costLss,2.9802497717424827e-5
2050,CH,none,electricity < electricity_central,costLss,0.0001289970046920255
2050,CH,none,gas < hydrogen,costLss,5.034838897265139e-6
2050,CH,none,gas < synthGas,costLss,7.149893623169236e-6
2050,CH,none,mobility,costLss,5.086469334023221e-6
2050,CH,none,heatIndustry,costLss,2.999004427889333e-5
2050,CH,none,heatResidental,costLss,2.9785650785506715e-5
