carrier_2,region_2,region_2,parameter_1,value_1
electricity_central,DE91,DEA4,capaExcUp,20
electricity_central,DE91,DE93,capaExcUp,20
electricity_central,DE91,DEE0,capaExcUp,20
electricity_central,DE91,DEG0,capaExcUp,20
electricity_central,DE91,DE73,capaExcUp,20
electricity_central,DE91,DE92,capaExcUp,20
electricity_central,DEA4,DE73,capaExcUp,20
electricity_central,DEA4,DE92,capaExcUp,20
electricity_central,DEA4,DEA3,capaExcUp,20
electricity_central,DEA4,DEA5,capaExcUp,20
electricity_central,DEA4,DE94,capaExcUp,20
electricity_central,DE27,DE11,capaExcUp,20
electricity_central,DE27,DE21,capaExcUp,20
electricity_central,DE27,DE25,capaExcUp,20
electricity_central,DE27,DE14,capaExcUp,20
electricity_central,DE71,DE12,capaExcUp,20
electricity_central,DE71,DEB3,capaExcUp,20
electricity_central,DE71,DE26,capaExcUp,20
electricity_central,DE71,DE72,capaExcUp,20
electricity_central,DE71,DE73,capaExcUp,20
electricity_central,DE71,DEB1,capaExcUp,20
electricity_central,DE92,DE93,capaExcUp,20
electricity_central,DE92,DE50,capaExcUp,20
electricity_central,DE92,DE94,capaExcUp,20
electricity_central,DEA5,DE72,capaExcUp,20
electricity_central,DEA5,DE73,capaExcUp,20
electricity_central,DEA5,DEA1,capaExcUp,20
electricity_central,DEA5,DEA3,capaExcUp,20
electricity_central,DEA5,DEA2,capaExcUp,20
electricity_central,DEA5,DEB1,capaExcUp,20
electricity_central,DE25,DE24,capaExcUp,20
electricity_central,DE25,DE11,capaExcUp,20
electricity_central,DE25,DE23,capaExcUp,20
electricity_central,DE25,DE26,capaExcUp,20
electricity_central,DE25,DE21,capaExcUp,20
electricity_central,DE72,DE73,capaExcUp,20
electricity_central,DE72,DEB1,capaExcUp,20
electricity_central,DEB1,DEC0_,capaExcUp,20
electricity_central,DEB1,DEB3,capaExcUp,20
electricity_central,DEB1,DEA2,capaExcUp,20
electricity_central,DEB1,DEB2,capaExcUp,20
electricity_central,DE94,DE93,capaExcUp,20
electricity_central,DE94,DE50,capaExcUp,20
electricity_central,DE94,DEA3,capaExcUp,20
electricity_central,DE40,DE30,capaExcUp,20
electricity_central,DE40,DE93,capaExcUp,20
electricity_central,DE40,DE80,capaExcUp,20
electricity_central,DE40,DED2,capaExcUp,20
electricity_central,DE40,DEE0,capaExcUp,20
electricity_central,DE40,DED5,capaExcUp,20
electricity_central,DE93,DE80,capaExcUp,20
electricity_central,DE93,DEF0,capaExcUp,20
electricity_central,DE93,DEE0,capaExcUp,20
electricity_central,DE93,DE60,capaExcUp,20
electricity_central,DE93,DE50,capaExcUp,20
electricity_central,DEA3,DEA1,capaExcUp,20
electricity_central,DE24,DED4,capaExcUp,20
electricity_central,DE24,DEG0,capaExcUp,20
electricity_central,DE24,DE23,capaExcUp,20
electricity_central,DE24,DE26,capaExcUp,20
electricity_central,DEB2,DEC0_,capaExcUp,20
electricity_central,DEB2,DEA2,capaExcUp,20
electricity_central,DE80,DEF0,capaExcUp,20
electricity_central,DE14,DE12,capaExcUp,20
electricity_central,DE14,DE11,capaExcUp,20
electricity_central,DE14,DE13,capaExcUp,20
electricity_central,DE21,DE23,capaExcUp,20
electricity_central,DE21,DE22,capaExcUp,20
electricity_central,DE13,DE12,capaExcUp,20
electricity_central,DE12,DE11,capaExcUp,20
electricity_central,DE12,DEB3,capaExcUp,20
electricity_central,DE12,DE26,capaExcUp,20
electricity_central,DE73,DEG0,capaExcUp,20
electricity_central,DE73,DE26,capaExcUp,20
electricity_central,DE11,DE26,capaExcUp,20
electricity_central,DE22,DE23,capaExcUp,20
electricity_central,DEC0_,DEB3,capaExcUp,20
electricity_central,DEE0,DEG0,capaExcUp,20
electricity_central,DEE0,DED5,capaExcUp,20
electricity_central,DED4,DED2,capaExcUp,20
electricity_central,DED4,DEG0,capaExcUp,20
electricity_central,DED4,DED5,capaExcUp,20
electricity_central,DEA2,DEA1,capaExcUp,20
electricity_central,DEF0,DE60,capaExcUp,20
electricity_central,DEG0,DED5,capaExcUp,20
electricity_central,DEG0,DE26,capaExcUp,20
electricity_central,DED5,DED2,capaExcUp,20
