timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2050,AT,none,electricity < electricity_central,demand,-37.854091130865044
2050,BE,none,electricity < electricity_central,demand,-45.30997832973787
2050,BG,none,electricity < electricity_central,demand,-31.007816397816935
2050,CH,none,electricity < electricity_central,demand,-77.01878832505705
2050,CZ,none,electricity < electricity_central,demand,-43.070894793438974
2050,DK,none,electricity < electricity_central,demand,-35.8569326035731
2050,ES,none,electricity < electricity_central,demand,-234.0935189719004
2050,FI,none,electricity < electricity_central,demand,-18.488872586297962
2050,FR,none,electricity < electricity_central,demand,-474.40768289193
2050,GR,none,electricity < electricity_central,demand,-52.61557086902212
2050,HR,none,electricity < electricity_central,demand,-17.890948578885016
2050,HU,none,electricity < electricity_central,demand,-28.64352528262094
2050,IE,none,electricity < electricity_central,demand,-22.723903959316946
2050,IT,none,electricity < electricity_central,demand,-123.44111937548114
2050,LU,none,electricity < electricity_central,demand,-6.4111156984490085
2050,NL,none,electricity < electricity_central,demand,-66.16653177919383
2050,NO,none,electricity < electricity_central,demand,-94.82273855475113
2050,PL,none,electricity < electricity_central,demand,-139.03691637294978
2050,PT,none,electricity < electricity_central,demand,-43.14713252900025
2050,RO,none,electricity < electricity_central,demand,-46.58098193762203
2050,SE,none,electricity < electricity_central,demand,-106.25463873674693
2050,SI,none,electricity < electricity_central,demand,-7.788454403901986
2050,SK,none,electricity < electricity_central,demand,-17.046116009824953
2050,UK,none,electricity < electricity_central,demand,-279.835814953529
2050,EE,none,electricity < electricity_central,demand,-6.138450157935995
2050,LT,none,electricity < electricity_central,demand,-4.185590263680021
2050,LV,none,electricity < electricity_central,demand,-5.39348992842202
2050,NONEU_Balkan,none,electricity < electricity_central,demand,-43.42706451387087
2050,TR,none,electricity < electricity_central,demand,-215.32051265879988
2050,AT,none,gas < synthGas,demand,-4.05059527596003
2050,BE,none,gas < synthGas,demand,-30.357408532200097
2050,BG,none,gas < synthGas,demand,-10.185683272319974
2050,CH,none,gas < synthGas,demand,-4.850373788879994
2050,CZ,none,gas < synthGas,demand,-4.961361000359967
